id,price,baths,rooms,sqft,description,location
200011,695000,3,4,2400,"Four bedroom three bathroom home in the Central Park neighborhood with a modern open floor plan. Nine foot ceilings, kitchen island with granite counters, primary suite with walk-in closet, and a finished basement with rec room. Community pool and parks. Near the Stanley Marketplace, Founders Green, and Anschutz Medical Campus. Two car garage.",Central Park
200012,500000,1,2,1100,"Two bedroom one bathroom brick row home in historic Five Points. Exposed brick walls, updated kitchen and bath, hardwood floors, and good natural light. Small fenced backyard. Walking distance to Welton Street restaurants, jazz venues, and the 38th and Blake light rail station. Street parking.",Five Points
200013,575000,2,3,1550,"Three bedroom two bathroom Congress Park charmer with vintage character. Crown molding, built-in bookshelves, decorative fireplace, and a screened-in front porch. Updated kitchen with butcher block counters and bathroom with subway tile. Tree-lined street one block from Congress Park. Easy walk to shops on East Colfax. Detached one car garage.",Congress Park
200014,625000,2,3,1750,"Three bedroom two bathroom Platt Park half duplex with modern finishes. Open kitchen with quartz countertops and stainless appliances, primary bedroom with en suite bath, and a finished basement with flexible space. Private fenced backyard. Walk to shops and restaurants along South Pearl Street. Close to the Evans light rail station. One car garage.",Platt Park
200015,450000,2,2,1300,"Two bedroom two bathroom Uptown condo with skyline views from the living room and primary bedroom. Modern kitchen with gas range, walk-in closet, and a private balcony. Building has a rooftop lounge, fitness center, and secure parking. Steps from restaurants on 17th Avenue, and a short walk to City Park and Coors Field.",Uptown
200016,1150000,3,4,2800,"Four bedroom three bathroom Cheesman Park home with unobstructed mountain and park views. Chef kitchen with gas range, double oven, and marble countertops. Primary suite with walk-in closet and soaking tub. Finished third floor bonus room. Professionally landscaped yard with flagstone patio. Steps from Cheesman Park and the Denver Botanic Gardens. Two car garage.",Cheesman Park
200017,625000,2,3,1500,"Three bedroom two bathroom Berkeley cottage near Tennyson Street. Updated kitchen with butcher block counters, original hardwood floors, and a large fenced backyard with alley access. Covered front porch and mature shade trees. Walk to breweries, bookshops, and restaurants along Tennyson. Berkeley Lake Park is a five minute walk. Detached garage.",Berkeley
200018,675000,3,4,2100,"Four bedroom three bathroom home in a newer Sunnyside build. Modern finishes throughout with an open layout, large kitchen island, and floor to ceiling windows on the main level. Primary suite with walk-in closet and tiled shower. Rooftop deck with mountain views. Walk to Zuni Street restaurants and the 41st and Fox light rail station. Two car garage.",Sunnyside
200019,950000,3,3,2000,"Three bedroom three bathroom luxury townhome in the Golden Triangle arts district. Designer finishes with wide plank white oak floors, custom lighting, and a gourmet kitchen with waterfall island. Rooftop terrace with views of the Denver Art Museum and downtown skyline. Two car attached garage. Walk to museums, galleries, and the Civic Center light rail station.",Golden Triangle
200020,575000,2,3,1450,"Three bedroom two bathroom Hale neighborhood home on a quiet street. Updated kitchen and baths, hardwood floors, and a sunlit living room with picture window. Finished basement and private backyard with patio and garden space. Close to Lowry Town Center shops, restaurants, and the Wings Over the Rockies museum. Easy access to I-70. One car garage.",Hale
200021,350000,1,1,650,"One bedroom one bathroom Capitol Hill condo in a classic brick building. Updated kitchen with granite counters and stainless appliances, hardwood floors, and good closet space. Shared laundry in building. Walk to restaurants and nightlife on Broadway and Colfax, two blocks from Cheesman Park. One assigned parking space.",Capitol Hill
200022,425000,1,1,800,"One bedroom one bathroom converted warehouse loft in the RiNo arts district. Soaring twelve foot ceilings with exposed ductwork and polished concrete floors. Open layout with a modern kitchen featuring quartz counters and a breakfast bar. Large windows with views of the street art murals below. Building has secure entry and bike storage. Steps from Denver Central Market and the River North Greenway trail. One parking space.",RiNo
200023,475000,1,1,900,"One bedroom one bathroom luxury condo steps from Union Station in LoDo. Floor to ceiling windows with city views, modern kitchen with gas range and waterfall island, spa-inspired bathroom with rain shower, and an in-unit washer dryer. Building amenities include a fitness center, resident lounge, and rooftop pool. Walk to Coors Field, Larimer Square, and the Platte River trail. One secure garage space.",LoDo
200024,375000,1,1,700,"One bedroom one bathroom condo in the heart of Five Points with exposed brick and original hardwood floors. Updated kitchen with butcher block counters and stainless appliances. Large windows with great natural light. Building has a shared courtyard and secure entry. Walk to Welton Street restaurants, jazz clubs, and the 38th and Blake light rail station. One parking space.",Five Points
200025,825000,2,3,1800,"Three bedroom two bathroom LoDo townhome just two blocks from Union Station. Open concept main level with hardwood floors, chef kitchen with gas range and quartz island, and a private rooftop deck with mountain views. Primary suite with walk-in closet and spa shower. In-unit laundry and two car tandem garage. Walk to Larimer Square, Coors Field, and the Platte River trail.",LoDo
200026,525000,2,2,1250,"Two bedroom two bathroom RiNo condo in a modern mixed-use building. Open layout with nine foot ceilings, floor to ceiling windows, and a sleek kitchen with waterfall island. Private balcony overlooking the arts district murals. Building amenities include a fitness center, coworking lounge, and rooftop terrace. Steps from Denver Central Market and the Brighton Boulevard bike path. One garage space.",RiNo
200027,725000,2,3,1700,"Three bedroom two bathroom Capitol Hill Craftsman on a tree-lined block near Cheesman Park. Original built-in cabinetry, leaded glass windows, and refinished hardwood floors throughout. Updated kitchen with farmhouse sink and subway tile backsplash. Finished basement with bonus room. Covered wraparound porch and fenced backyard. Walk to restaurants on Broadway and the Denver Botanic Gardens. One car garage.",Capitol Hill
200028,525000,1,1,850,"One bedroom one bathroom Cherry Creek condo with high-end finishes in a boutique building. Wide plank hardwood floors, designer kitchen with marble counters and Wolf appliances, and a spa bathroom with soaking tub. Private balcony with tree-top views. Building has a concierge, fitness center, and courtyard garden. Steps from Cherry Creek Shopping Center and the Cherry Creek trail. One secure parking space.",Cherry Creek
200029,875000,2,2,1500,"Two bedroom two bathroom Cherry Creek patio home with a contemporary design. Open floor plan with vaulted ceilings, chef kitchen with quartz counters and double oven, and a primary suite with walk-in closet. Private landscaped courtyard with flagstone patio. Walk to Cherry Creek Shopping Center, galleries, and the creek trail. Attached two car garage.",Cherry Creek
200030,425000,1,1,750,"One bedroom one bathroom Wash Park condo in a charming red brick fourplex. Hardwood floors, updated kitchen with gas range and butcher block counters, good natural light, and an in-unit washer dryer. Shared garden courtyard. One block from Washington Park with access to the park loop trail and paddle boat lake. One assigned parking space.",Wash Park
200031,625000,2,2,1350,"Two bedroom two bathroom Wash Park bungalow with a sun-filled open floor plan. Updated kitchen with quartz counters and stainless appliances, refinished hardwood floors, and a finished basement with laundry. Private fenced backyard with patio and mature shade trees. Walk to South Gaylord Street shops, restaurants, and Washington Park. Detached one car garage.",Wash Park
200032,400000,1,1,700,"One bedroom one bathroom Highland condo with mountain views from the living room. Modern kitchen with quartz counters and stainless appliances, hardwood floors, in-unit laundry, and a private balcony. Building has a rooftop deck, fitness room, and secure entry. Walk to restaurants on 32nd Avenue, Highlands Square, and the Platte River trail. One garage space.",Highland
200033,575000,2,2,1300,"Two bedroom two bathroom Highland townhome with a rooftop deck and mountain views. Open main level with modern kitchen, island seating, and hardwood floors. Primary suite with walk-in closet and tiled shower. Private fenced patio on the ground level. Walk to restaurants and shops on 32nd Avenue and the LoHi dining scene. Attached one car garage.",Highland
200034,395000,1,1,700,"One bedroom one bathroom Baker condo in a converted industrial building on South Broadway. Exposed brick walls, concrete floors, and oversized windows with downtown views. Updated kitchen with butcher block island and stainless appliances. Building has bike storage and a shared rooftop. Walk to South Broadway shops, antique row, and the Broadway light rail station. One parking space.",Baker
200035,625000,2,3,1600,"Three bedroom two bathroom Baker Victorian with modern updates. Original hardwood floors and decorative fireplace on the main level, renovated kitchen with gas range and subway tile, and a finished basement with third bedroom. Fenced backyard with alley access and garden beds. Walk to South Broadway restaurants, breweries, and the light rail. Detached one car garage.",Baker
200036,425000,1,1,750,"One bedroom one bathroom Sloan Lake condo with lake and mountain views from the living room balcony. Open layout with modern kitchen, quartz counters, and stainless appliances. In-unit washer dryer and walk-in closet. Building has a fitness center and secure parking. Steps from the Sloan Lake loop trail and Edgewater Public Market. One garage space.",Sloan Lake
200037,575000,2,2,1300,"Two bedroom two bathroom Sloan Lake ranch on a corner lot with mountain views. Updated kitchen with farmhouse sink and new cabinetry, refinished hardwood floors, and a sunlit breakfast nook. Large fenced backyard with a patio and room for a garden. Walk to the Sloan Lake loop trail, playgrounds, and Edgewater Public Market. Detached one car garage.",Sloan Lake
200038,400000,1,1,725,"One bedroom one bathroom City Park condo with park views from the living room. Bright open layout with hardwood floors, updated kitchen with granite counters and new appliances, and a spacious bedroom with walk-in closet. Building has a shared courtyard, laundry, and secure entry. Walk to the Denver Zoo, Museum of Nature and Science, and City Park Jazz. One assigned parking space.",City Park
200039,525000,2,2,1250,"Two bedroom two bathroom City Park bungalow with a welcoming front porch and park views. Refinished hardwood floors, updated kitchen with butcher block counters, and a bright sunroom. Full basement with laundry and additional storage. Fenced backyard with patio. Walk to City Park, the Denver Zoo, and East Colfax shops. One car garage.",City Park
200040,375000,1,1,675,"One bedroom one bathroom Park Hill condo in a quiet residential setting. Updated kitchen with new counters and stainless appliances, hardwood floors, and a private patio. In-unit washer dryer and ample closet space. Walk to Montview Boulevard shops, OneLife Fitness, and the Park Hill library. Near the Colorado Boulevard bus line. One assigned parking space.",Park Hill
200041,525000,2,2,1300,"Two bedroom two bathroom Park Hill ranch with a mid-century modern feel. Open living area with picture windows, updated kitchen with quartz counters, and refinished hardwood floors. Large fenced backyard with covered patio and storage shed. Full basement with laundry. Close to Montview Boulevard restaurants, City Park, and the Colorado Boulevard corridor. Attached one car garage.",Park Hill
200042,395000,1,1,750,"One bedroom one bathroom Central Park condo in a newer construction building with modern finishes. Open layout with nine foot ceilings, kitchen island with quartz counters, and a private balcony. In-unit washer dryer, walk-in closet, and one garage space. Community pool, fitness center, and parks. Near the Stanley Marketplace and the Central Park Boulevard trail.",Central Park
200043,525000,2,2,1400,"Two bedroom two bathroom Central Park townhome with a contemporary open floor plan. Kitchen with granite counters and island seating, hardwood floors on the main level, and a rooftop deck with mountain views. Primary suite with walk-in closet. Attached two car garage. Community pool and parks. Near the Stanley Marketplace, Founders Green, and the A Line to the airport.",Central Park
200044,575000,2,3,1500,"Three bedroom two bathroom Five Points Victorian row home with original character and modern updates. Exposed brick walls, refinished hardwood floors, updated kitchen with gas range and marble counters. Finished basement with third bedroom and laundry. Small fenced backyard with brick patio. Walk to Welton Street restaurants, jazz venues, and the 38th and Blake light rail station. Street parking.",Five Points
200045,395000,1,1,700,"One bedroom one bathroom Congress Park condo in a classic brick courtyard building. Hardwood floors, updated kitchen with granite counters, and large windows with tree-top views. Shared laundry and a landscaped courtyard. Walk to Congress Park, shops on East Colfax, and the Botanic Gardens. Near the Colfax bus line. One assigned parking space.",Congress Park
200046,500000,2,2,1200,"Two bedroom two bathroom Congress Park half duplex with vintage charm. Decorative fireplace, built-in bookshelves, and refinished hardwood floors. Updated kitchen with subway tile and stainless appliances. Private fenced backyard with patio. Walk to Congress Park, East Colfax restaurants, and the Fillmore Auditorium. One car garage.",Congress Park
200047,400000,1,1,700,"One bedroom one bathroom Platt Park condo in a modern low-rise building. Open layout with hardwood floors, sleek kitchen with quartz counters and stainless appliances, and a private balcony. In-unit washer dryer and one garage space. Walk to shops and restaurants along South Pearl Street. Close to the Evans light rail station and Platt Park playground.",Platt Park
200048,525000,2,2,1250,"Two bedroom two bathroom Platt Park bungalow with a bright open floor plan. Updated kitchen with farmhouse sink and quartz counters, refinished hardwood floors, and a finished basement with laundry. Private fenced backyard with raised garden beds. Walk to South Pearl Street shops, restaurants, and the Evans light rail station. Detached one car garage.",Platt Park
200049,375000,1,1,675,"One bedroom one bathroom Uptown condo in a modern mid-rise with city views. Sleek kitchen with gas range and quartz counters, floor to ceiling windows, and an in-unit washer dryer. Building amenities include a rooftop pool, fitness center, and bike storage. Steps from restaurants on 17th Avenue and a short walk to City Park and downtown. One secure parking space.",Uptown
200050,695000,2,3,1600,"Three bedroom two bathroom Uptown townhome with rooftop views of the downtown skyline. Open main level with modern kitchen, island seating, and hardwood floors. Primary suite with walk-in closet and en suite bath. Finished lower level with third bedroom and flexible space. Walk to 17th Avenue restaurants, City Park, and Coors Field. One car attached garage.",Uptown
200051,475000,1,1,800,"One bedroom one bathroom Cheesman Park condo with park and mountain views from the living room. Bright open layout with hardwood floors, updated kitchen with granite counters and stainless appliances, and a spacious bathroom with soaking tub. Building has a rooftop deck, fitness room, and secure entry. Steps from Cheesman Park and the Denver Botanic Gardens. One assigned parking space.",Cheesman Park
200052,725000,2,2,1350,"Two bedroom two bathroom Cheesman Park condo in a boutique building with park views. Wide plank hardwood floors, chef kitchen with gas range and marble counters, and a primary suite with walk-in closet. Private balcony overlooking the park. Building amenities include a concierge, fitness center, and rooftop terrace. Walk to the Botanic Gardens, restaurants on East Colfax, and downtown. One secure garage space.",Cheesman Park
200053,400000,1,1,700,"One bedroom one bathroom Berkeley condo near Tennyson Street. Updated kitchen with butcher block counters and stainless appliances, hardwood floors, and a private patio with garden space. In-unit washer dryer. Walk to breweries, bookshops, and restaurants along Tennyson Street. Berkeley Lake Park is a five minute walk. One assigned parking space.",Berkeley
200054,525000,2,2,1250,"Two bedroom two bathroom Berkeley bungalow on a quiet tree-lined street. Bright open floor plan with refinished hardwood floors, updated kitchen with quartz counters, and a screened-in back porch. Fenced backyard with alley access and room for a garden. Walk to Tennyson Street shops, restaurants, and Berkeley Lake Park. Detached one car garage.",Berkeley
200055,400000,1,1,725,"One bedroom one bathroom Sunnyside condo in a modern building near the 41st and Fox light rail station. Open layout with floor to ceiling windows, contemporary kitchen with quartz counters, and a private balcony with mountain views. In-unit washer dryer and one garage space. Walk to Zuni Street restaurants and the Highlands neighborhood.",Sunnyside
200056,550000,2,2,1300,"Two bedroom two bathroom Sunnyside townhome with modern finishes and a rooftop deck. Open main level with kitchen island, hardwood floors, and large windows. Primary suite with walk-in closet and tiled shower. Fenced ground-level patio. Walk to Zuni Street restaurants, breweries, and the 41st and Fox light rail station. One car attached garage.",Sunnyside
200057,475000,1,1,800,"One bedroom one bathroom Golden Triangle loft in a converted warehouse near the Denver Art Museum. Fourteen foot ceilings with exposed ductwork, polished concrete floors, and floor to ceiling windows with downtown views. Modern kitchen with stainless appliances and a breakfast bar. Building has secure entry and bike storage. Walk to museums, galleries, and the Civic Center light rail station. One parking space.",Golden Triangle
200058,650000,2,2,1300,"Two bedroom two bathroom Golden Triangle condo with skyline views and designer finishes. Open layout with wide plank white oak floors, gourmet kitchen with waterfall island and Wolf appliances, and a primary suite with spa bathroom. Private balcony. Building has a rooftop lounge, fitness center, and concierge. Walk to the Denver Art Museum, galleries, and the Civic Center light rail station. One secure garage space.",Golden Triangle
200059,395000,1,1,700,"One bedroom one bathroom Hale condo in a well-maintained brick building. Updated kitchen with new counters and stainless appliances, hardwood floors, and good natural light. In-unit washer dryer and walk-in closet. Quiet tree-lined street near Lowry Town Center shops, restaurants, and the Wings Over the Rockies museum. Easy access to I-70 and the Anschutz Medical Campus. One assigned parking space.",Hale
200060,500000,2,2,1200,"Two bedroom two bathroom Hale bungalow with a bright and airy feel. Open floor plan with refinished hardwood floors, updated kitchen with quartz counters and new cabinetry, and a fenced backyard with patio. Full basement with laundry and storage. Close to Lowry Town Center, Cranmer Park, and the Mayfair dining scene. One car garage.",Hale
